rollno,elective1,elective2,elective3,elective4,elective5,elective6
s01,1,1,1,0,0,0
s02,1,1,0,0,0,1
s03,0,0,1,1,1,0
s04,0,1,0,0,1,1
s05,1,1,1,0,0,0
s06,1,0,1,1,0,0
s07,0,1,1,1,0,0
s08,0,1,1,1,0,0
s09,1,0,0,0,1,1
s10,0,1,0,1,0,1
s11,0,1,0,1,1,0
s12,0,1,1,1,0,0
s13,1,0,0,0,1,1
s14,1,1,0,0,1,0
s15,0,1,1,1,0,0
s16,0,0,0,1,1,1
s17,1,1,0,0,0,1
s18,0,0,1,1,1,0
s19,1,1,1,0,0,0
s20,0,0,0,1,1,1
s21,1,1,0,0,0,1
s22,1,1,1,0,0,0
s23,1,1,0,0,0,1
s24,1,1,1,0,0,0
s25,0,0,1,1,1,0
s26,0,1,1,1,0,0
s27,0,0,1,0,1,1
s28,1,1,0,0,0,1
s29,1,0,0,0,1,1
s30,1,1,1,0,0,0
s31,1,1,1,0,0,0
s32,1,1,1,0,0,0
s33,0,0,0,1,1,1
s34,1,1,1,0,0,0
s35,1,1,1,0,0,0
s36,0,1,0,0,1,1
s37,0,1,1,1,0,0
s38,0,1,1,1,0,0
s39,1,1,1,0,0,0
s40,0,0,1,1,1,0
s41,1,1,0,0,0,1
s42,1,0,0,1,0,1
s43,1,1,1,0,0,0
s44,0,1,1,1,0,0
s45,1,0,0,0,1,1
s46,1,1,0,0,0,1
s47,0,0,1,1,1,0
s48,0,0,0,1,1,1
s49,1,1,1,0,0,0
s50,0,0,0,1,1,1